duration_minutes,guest,date,session,anonymized_name
155,Yes,28.11.2023,6,297c21840007b94da0bf65f2a8d6632f
156,Yes,28.11.2023,6,d47d45687a49e2d54ce5a0d0fad941aa
63,Yes,28.11.2023,6,955b155fd3a50c0fb00248b604d49542
1,Yes,28.11.2023,6,51ad280f9856c6a165476a7d2ea849e3
63,Yes,28.11.2023,6,5d71541643b20ea0402c38447329aff9
7,Yes,28.11.2023,6,6479e7ec7748039db34142725489acd0
151,Yes,28.11.2023,6,eed076246b60bc6bc91cbf3830cb6dd4
153,Yes,28.11.2023,6,83396c31f027f73afd39ea4a97e612bf
153,Yes,28.11.2023,6,74cf46aacf8eb059e46a061995c249c0
8,Yes,28.11.2023,6,99b13c654238e52c5fcb07f0e98b7995
28,Yes,28.11.2023,6,e20073b62ffa50d500f24c575dd83c29
152,Yes,28.11.2023,6,b4a0385607d4e29295da47428431a031
153,Yes,28.11.2023,6,6c66c6454bbed93bb3f853728569f7c5
152,Yes,28.11.2023,6,6aefa2a8994450e4acfa222b2043d309
126,Yes,28.11.2023,6,39e5ec14fc0e59e117241610f007b225
41,Yes,28.11.2023,6,00ca4671e09e5ecf98faecb9bbfbba35
151,Yes,28.11.2023,6,a309fd57d7d8ee417bc86b6dfb33604b
56,Yes,28.11.2023,6,6bab266238a63990291cdf2d9ea36e7e
142,Yes,28.11.2023,6,dab55e08396a1d04198b0789cbba6e6b
112,Yes,28.11.2023,6,47baa31e8261188722c4cbd817b91e41
151,Yes,28.11.2023,6,dfd934bb655df40fe9d254ed40fb0ef8
151,Yes,28.11.2023,6,46cbb3253205c46166da5cb3853ebdd8
151,Yes,28.11.2023,6,08f0d1dd0e9041626929d866848faa8c
150,Yes,28.11.2023,6,7923675bb048eba4791247be71aa781e
149,Yes,28.11.2023,6,7804c7c63475b68cb15c86dc4383383d
150,Yes,28.11.2023,6,d439e83aeac0d78e37b128ef0ee8cda7
120,Yes,28.11.2023,6,b8f6e60e49dbc3a7b6ce16a6a723e37c
149,Yes,28.11.2023,6,90c66711aed71940446aba1e38052bf9
136,Yes,28.11.2023,6,15ad030dcb34d07b4202942bc5c64323
150,Yes,28.11.2023,6,92838c02b4ab4f82f59b302ca88d20a8
145,Yes,28.11.2023,6,97c345d56f4617f76d82d6f6e2d58bac
